"Toronto, Canada","{'address': 'Toronto, Ontario', 'location': {'x': -79.383907, 'y': 43.653524}, 'score': 100, 'attributes': {}, 'extent': {'xmin': -79.641907, 'ymin': 43.395524, 'xmax': -79.125907, 'ymax': 43.911524}}"
Quebec City,"{'address': 'Quebec City, Quebec', 'location': {'x': -71.21454, 'y': 46.81228}, 'score': 100, 'attributes': {}, 'extent': {'xmin': -71.42354, 'ymin': 46.60328, 'xmax': -71.00554, 'ymax': 47.02128}}"
"Rochester, Kent","{'address': 'Rochester, Kent, England', 'location': {'x': 0.503732, 'y': 51.3897895}, 'score': 100, 'attributes': {}, 'extent': {'xmin': 0.374732, 'ymin': 51.2607895, 'xmax': 0.632732, 'ymax': 51.5187895}}"
"Grahamstown, South Africa","{'address': 'Grahamstown, Sarah Baartman, Eastern Cape', 'location': {'x': 26.5272846, 'y': -33.2971263}, 'score': 100, 'attributes': {}, 'extent': {'xmin': 26.1022846, 'ymin': -33.7221263, 'xmax': 26.9522846, 'ymax': -32.8721263}}"
"Killiney, Co. Dublin","{'address': 'Killiney, Dublin', 'location': {'x': -6.1173855, 'y': 53.2568197}, 'score': 100, 'attributes': {}, 'extent': {'xmin': -6.1243855, 'ymin': 53.2498197, 'xmax': -6.1103855, 'ymax': 53.2638197}}"
"Brasschaat, Belgium","{'address': 'Brasschaat', 'location': {'x': 4.500413635, 'y': 51.309503506}, 'score': 100, 'attributes': {}, 'extent': {'xmin': 4.450413635, 'ymin': 51.259503506, 'xmax': 4.550413635, 'ymax': 51.359503506}}"
"St John’s College, Cambridge","{'address': ""St. John's College"", 'location': {'x': 0.120901, 'y': 52.189262}, 'score': 100, 'attributes': {}, 'extent': {'xmin': 0.115901, 'ymin': 52.184262, 'xmax': 0.125901, 'ymax': 52.194262}}"
"Boulder Clough, West Yorkshire","{'address': 'Boulder Clough, Halifax, Sowerby Bridge, West Yorkshire, England, HX6 1NQ', 'location': {'x': -1.947213065332, 'y': 53.710943765538}, 'score': 100, 'attributes': {}, 'extent': {'xmin': -1.948213065332, 'ymin': 53.709943765538, 'xmax': -1.946213065332, 'ymax': 53.711943765538}}"
"Chislehurst, Greater London","{'address': 'Chislehurst, Kent, England', 'location': {'x': 0.0690015, 'y': 51.4167919}, 'score': 100, 'attributes': {}, 'extent': {'xmin': 0.0440015, 'ymin': 51.3917919, 'xmax': 0.0940015, 'ymax': 51.4417919}}"
"Olympia, Washington","{'address': 'Olympia, Washington', 'location': {'x': -122.900827, 'y': 47.035534}, 'score': 100, 'attributes': {}, 'extent': {'xmin': -123.047827, 'ymin': 46.888534, 'xmax': -122.753827, 'ymax': 47.182534}}"
Ludlow,"{'address': 'Ludlow, Shropshire, England', 'location': {'x': -2.719006083, 'y': 52.367658788}, 'score': 100, 'attributes': {}, 'extent': {'xmin': -2.737006083, 'ymin': 52.349658788, 'xmax': -2.701006083, 'ymax': 52.385658788}}"
